Week,Cases
2020-02-24,0
2020-03-02,1
2020-03-09,2
2020-03-16,14
2020-03-23,13
2020-03-30,22
2020-04-06,37
2020-04-13,54
2020-04-20,56
2020-04-27,28
2020-05-04,42
2020-05-11,38
2020-05-18,38
2020-05-25,29
2020-06-01,18
2020-06-08,27
2020-06-15,47
2020-06-22,76
2020-06-29,76
2020-07-06,93
2020-07-13,106
2020-07-20,99
2020-07-27,77
2020-08-03,120
2020-08-10,92
2020-08-17,146
2020-08-24,100
2020-08-31,127
2020-09-07,101
2020-09-14,109
2020-09-21,115
2020-09-28,28
2020-10-05,44
2020-10-12,63
2020-10-19,86
2020-10-26,150
2020-11-02,239
2020-11-09,319
2020-11-16,286
2020-11-23,286
2020-11-30,267
2020-12-07,160
2020-12-14,174
2020-12-21,149
2020-12-28,132
2021-01-04,170
2021-01-11,141
2021-01-18,104
2021-01-25,68
2021-02-01,105
2021-02-08,203
2021-02-15,112
2021-02-22,68
2021-03-01,70
2021-03-08,83
2021-03-15,176
2021-03-22,413
2021-03-29,397
2021-04-05,420
2021-04-12,322
2021-04-19,250
2021-04-26,241
2021-05-03,122
2021-05-10,106
2021-05-17,136
2021-05-24,99
2021-05-31,55
2021-06-07,51
2021-06-14,57
2021-06-21,50
2021-06-28,56
2021-07-05,52
2021-07-12,57
2021-07-19,84
2021-07-26,116
2021-08-02,99
2021-08-09,167
2021-08-16,174
2021-08-23,217
2021-08-30,211
2021-09-06,149
2021-09-13,169
2021-09-20,144
2021-09-27,187
2021-10-04,246
2021-10-11,232
2021-10-18,247
2021-10-25,272
2021-11-01,348
2021-11-08,453
2021-11-15,484
2021-11-22,397
2021-11-29,421
2021-12-06,295
2021-12-13,240
2021-12-20,234
2021-12-27,388
2022-01-03,802
2022-01-10,949
2022-01-17,757
2022-01-24,536
2022-01-31,261
2022-02-07,189
2022-02-14,140
2022-02-21,98
2022-02-28,62
2022-03-07,57
2022-03-14,51
2022-03-21,45
2022-03-28,40
2022-04-04,45
2022-04-11,59
2022-04-18,56
2022-04-25,102
2022-05-02,138
2022-05-09,153
2022-05-16,129
2022-05-23,104
2022-05-30,63
2022-06-06,82
2022-06-13,78
2022-06-20,82
2022-06-27,91
2022-07-04,96
2022-07-11,90
2022-07-18,103
2022-07-25,115
2022-08-01,112
2022-08-08,124
2022-08-15,155
2022-08-22,159
2022-08-29,160
2022-09-05,135
2022-09-12,91
2022-09-19,70
2022-09-26,97
2022-10-03,102
2022-10-10,77
2022-10-17,67
2022-10-24,62
2022-10-31,75
2022-11-07,52
2022-11-14,40
2022-11-21,49
2022-11-28,71
2022-12-05,68
2022-12-12,82
2022-12-19,66
2022-12-26,70
2023-01-02,68
2023-01-09,74
2023-01-16,39
2023-01-23,35
2023-01-30,29
2023-02-06,45
2023-02-13,41
2023-02-20,29
2023-02-27,38
2023-03-06,33
2023-03-13,29
2023-03-20,28
2023-03-27,27
2023-04-03,15
2023-04-10,14
2023-04-17,16
2023-04-24,13
2023-05-01,6
2023-05-08,6
2023-05-15,11
2023-05-22,8
2023-05-29,6
2023-06-05,6
2023-06-12,5
2023-06-19,4
2023-06-26,2
2023-07-03,2
2023-07-10,6
2023-07-17,5
2023-07-24,13
2023-07-31,6
2023-08-07,10
2023-08-14,17
2023-08-21,16
2023-08-28,30
2023-09-04,37
2023-09-11,46
2023-09-18,36
2023-09-25,44
2023-10-02,40
2023-10-09,32
2023-10-16,33
2023-10-23,18
2023-10-30,27
2023-11-06,29
2023-11-13,32
2023-11-20,47
2023-11-27,78
2023-12-04,68
2023-12-11,77
2023-12-18,79
2023-12-25,64
2024-01-01,50
2024-01-08,39
2024-01-15,49
2024-01-22,25
2024-01-29,34
2024-02-05,38
2024-02-12,26
2024-02-19,36
2024-02-26,20
2024-03-04,14
2024-03-11,3
