Week,Cases
2020-02-24,0
2020-03-02,1
2020-03-09,0
2020-03-16,6
2020-03-23,6
2020-03-30,4
2020-04-06,9
2020-04-13,8
2020-04-20,1
2020-04-27,7
2020-05-04,2
2020-05-11,4
2020-05-18,4
2020-05-25,8
2020-06-01,7
2020-06-08,4
2020-06-15,10
2020-06-22,15
2020-06-29,28
2020-07-06,14
2020-07-13,32
2020-07-20,14
2020-07-27,29
2020-08-03,21
2020-08-10,16
2020-08-17,26
2020-08-24,27
2020-08-31,27
2020-09-07,19
2020-09-14,22
2020-09-21,25
2020-09-28,7
2020-10-05,10
2020-10-12,16
2020-10-19,20
2020-10-26,38
2020-11-02,55
2020-11-09,53
2020-11-16,52
2020-11-23,37
2020-11-30,37
2020-12-07,32
2020-12-14,13
2020-12-21,20
2020-12-28,12
2021-01-04,10
2021-01-11,18
2021-01-18,17
2021-01-25,20
2021-02-01,19
2021-02-08,31
2021-02-15,40
2021-02-22,20
2021-03-01,35
2021-03-08,21
2021-03-15,41
2021-03-22,90
2021-03-29,75
2021-04-05,81
2021-04-12,47
2021-04-19,43
2021-04-26,48
2021-05-03,17
2021-05-10,31
2021-05-17,26
2021-05-24,20
2021-05-31,18
2021-06-07,31
2021-06-14,16
2021-06-21,20
2021-06-28,15
2021-07-05,15
2021-07-12,17
2021-07-19,29
2021-07-26,33
2021-08-02,26
2021-08-09,49
2021-08-16,33
2021-08-23,26
2021-08-30,45
2021-09-06,34
2021-09-13,63
2021-09-20,50
2021-09-27,58
2021-10-04,68
2021-10-11,61
2021-10-18,52
2021-10-25,50
2021-11-01,57
2021-11-08,53
2021-11-15,76
2021-11-22,65
2021-11-29,103
2021-12-06,55
2021-12-13,61
2021-12-20,62
2021-12-27,74
2022-01-03,136
2022-01-10,162
2022-01-17,132
2022-01-24,137
2022-01-31,68
2022-02-07,47
2022-02-14,23
2022-02-21,22
2022-02-28,19
2022-03-07,11
2022-03-14,5
2022-03-21,13
2022-03-28,19
2022-04-04,11
2022-04-11,14
2022-04-18,17
2022-04-25,21
2022-05-02,32
2022-05-09,37
2022-05-16,33
2022-05-23,41
2022-05-30,35
2022-06-06,22
2022-06-13,22
2022-06-20,32
2022-06-27,16
2022-07-04,16
2022-07-11,20
2022-07-18,30
2022-07-25,31
2022-08-01,26
2022-08-08,19
2022-08-15,25
2022-08-22,14
2022-08-29,17
2022-09-05,12
2022-09-12,22
2022-09-19,11
2022-09-26,10
2022-10-03,16
2022-10-10,17
2022-10-17,17
2022-10-24,11
2022-10-31,8
2022-11-07,8
2022-11-14,12
2022-11-21,11
2022-11-28,6
2022-12-05,8
2022-12-12,21
2022-12-19,19
2022-12-26,12
2023-01-02,11
2023-01-09,9
2023-01-16,1
2023-01-23,7
2023-01-30,6
2023-02-06,7
2023-02-13,6
2023-02-20,7
2023-02-27,13
2023-03-06,9
2023-03-13,10
2023-03-20,5
2023-03-27,4
2023-04-03,7
2023-04-10,0
2023-04-17,2
2023-04-24,4
2023-05-01,3
2023-05-08,4
2023-05-15,1
2023-05-22,3
2023-05-29,0
2023-06-05,0
2023-06-12,1
2023-06-19,1
2023-06-26,0
2023-07-03,1
2023-07-10,1
2023-07-17,0
2023-07-24,1
2023-07-31,1
2023-08-07,0
2023-08-14,4
2023-08-21,3
2023-08-28,6
2023-09-04,5
2023-09-11,5
2023-09-18,11
2023-09-25,7
2023-10-02,7
2023-10-09,2
2023-10-16,3
2023-10-23,6
2023-10-30,4
2023-11-06,10
2023-11-13,8
2023-11-20,3
2023-11-27,7
2023-12-04,14
2023-12-11,11
2023-12-18,16
2023-12-25,11
2024-01-01,14
2024-01-08,3
2024-01-15,7
2024-01-22,5
2024-01-29,7
2024-02-05,2
2024-02-12,4
2024-02-19,7
2024-02-26,3
2024-03-04,4
2024-03-11,0
