Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,1
2020-03-16,2
2020-03-23,1
2020-03-30,2
2020-04-06,1
2020-04-13,6
2020-04-20,21
2020-04-27,23
2020-05-04,38
2020-05-11,31
2020-05-18,37
2020-05-25,30
2020-06-01,56
2020-06-08,84
2020-06-15,99
2020-06-22,123
2020-06-29,111
2020-07-06,73
2020-07-13,65
2020-07-20,40
2020-07-27,35
2020-08-03,38
2020-08-10,48
2020-08-17,61
2020-08-24,65
2020-08-31,44
2020-09-07,36
2020-09-14,20
2020-09-21,49
2020-09-28,11
2020-10-05,17
2020-10-12,37
2020-10-19,49
2020-10-26,90
2020-11-02,117
2020-11-09,107
2020-11-16,131
2020-11-23,111
2020-11-30,146
2020-12-07,70
2020-12-14,53
2020-12-21,40
2020-12-28,55
2021-01-04,55
2021-01-11,37
2021-01-18,32
2021-01-25,18
2021-02-01,31
2021-02-08,52
2021-02-15,24
2021-02-22,11
2021-03-01,16
2021-03-08,14
2021-03-15,39
2021-03-22,98
2021-03-29,109
2021-04-05,132
2021-04-12,126
2021-04-19,92
2021-04-26,114
2021-05-03,35
2021-05-10,27
2021-05-17,45
2021-05-24,33
2021-05-31,25
2021-06-07,18
2021-06-14,22
2021-06-21,23
2021-06-28,16
2021-07-05,17
2021-07-12,28
2021-07-19,23
2021-07-26,23
2021-08-02,37
2021-08-09,47
2021-08-16,62
2021-08-23,43
2021-08-30,37
2021-09-06,56
2021-09-13,92
2021-09-20,103
2021-09-27,118
2021-10-04,86
2021-10-11,85
2021-10-18,84
2021-10-25,86
2021-11-01,84
2021-11-08,128
2021-11-15,145
2021-11-22,128
2021-11-29,140
2021-12-06,95
2021-12-13,52
2021-12-20,41
2021-12-27,89
2022-01-03,164
2022-01-10,201
2022-01-17,172
2022-01-24,190
2022-01-31,122
2022-02-07,68
2022-02-14,57
2022-02-21,28
2022-02-28,33
2022-03-07,29
2022-03-14,29
2022-03-21,25
2022-03-28,14
2022-04-04,11
2022-04-11,14
2022-04-18,23
2022-04-25,31
2022-05-02,46
2022-05-09,39
2022-05-16,37
2022-05-23,37
2022-05-30,32
2022-06-06,34
2022-06-13,29
2022-06-20,25
2022-06-27,23
2022-07-04,34
2022-07-11,48
2022-07-18,46
2022-07-25,65
2022-08-01,47
2022-08-08,43
2022-08-15,34
2022-08-22,35
2022-08-29,26
2022-09-05,17
2022-09-12,26
2022-09-19,19
2022-09-26,28
2022-10-03,32
2022-10-10,21
2022-10-17,17
2022-10-24,28
2022-10-31,20
2022-11-07,23
2022-11-14,13
2022-11-21,14
2022-11-28,21
2022-12-05,22
2022-12-12,43
2022-12-19,30
2022-12-26,18
2023-01-02,25
2023-01-09,11
2023-01-16,9
2023-01-23,19
2023-01-30,20
2023-02-06,12
2023-02-13,15
2023-02-20,17
2023-02-27,25
2023-03-06,8
2023-03-13,13
2023-03-20,14
2023-03-27,15
2023-04-03,7
2023-04-10,11
2023-04-17,4
2023-04-24,10
2023-05-01,4
2023-05-08,8
2023-05-15,4
2023-05-22,4
2023-05-29,3
2023-06-05,3
2023-06-12,3
2023-06-19,3
2023-06-26,2
2023-07-03,4
2023-07-10,5
2023-07-17,6
2023-07-24,3
2023-07-31,4
2023-08-07,1
2023-08-14,1
2023-08-21,9
2023-08-28,27
2023-09-04,13
2023-09-11,9
2023-09-18,19
2023-09-25,12
2023-10-02,9
2023-10-09,4
2023-10-16,4
2023-10-23,11
2023-10-30,14
2023-11-06,9
2023-11-13,13
2023-11-20,12
2023-11-27,20
2023-12-04,21
2023-12-11,29
2023-12-18,24
2023-12-25,28
2024-01-01,25
2024-01-08,9
2024-01-15,8
2024-01-22,5
2024-01-29,6
2024-02-05,11
2024-02-12,9
2024-02-19,8
2024-02-26,14
2024-03-04,9
2024-03-11,1
