Week,Cases
2020-02-24,0
2020-03-02,2
2020-03-09,14
2020-03-16,54
2020-03-23,72
2020-03-30,104
2020-04-06,74
2020-04-13,66
2020-04-20,66
2020-04-27,71
2020-05-04,102
2020-05-11,138
2020-05-18,235
2020-05-25,138
2020-06-01,113
2020-06-08,87
2020-06-15,129
2020-06-22,158
2020-06-29,170
2020-07-06,166
2020-07-13,200
2020-07-20,254
2020-07-27,228
2020-08-03,179
2020-08-10,248
2020-08-17,225
2020-08-24,208
2020-08-31,151
2020-09-07,169
2020-09-14,192
2020-09-21,156
2020-09-28,102
2020-10-05,111
2020-10-12,188
2020-10-19,220
2020-10-26,340
2020-11-02,554
2020-11-09,766
2020-11-16,693
2020-11-23,612
2020-11-30,712
2020-12-07,440
2020-12-14,396
2020-12-21,321
2020-12-28,334
2021-01-04,361
2021-01-11,210
2021-01-18,174
2021-01-25,120
2021-02-01,156
2021-02-08,356
2021-02-15,218
2021-02-22,137
2021-03-01,313
2021-03-08,603
2021-03-15,1127
2021-03-22,1762
2021-03-29,1707
2021-04-05,1442
2021-04-12,928
2021-04-19,574
2021-04-26,448
2021-05-03,206
2021-05-10,280
2021-05-17,258
2021-05-24,174
2021-05-31,155
2021-06-07,144
2021-06-14,113
2021-06-21,114
2021-06-28,83
2021-07-05,111
2021-07-12,92
2021-07-19,118
2021-07-26,157
2021-08-02,213
2021-08-09,246
2021-08-16,295
2021-08-23,351
2021-08-30,255
2021-09-06,231
2021-09-13,289
2021-09-20,377
2021-09-27,356
2021-10-04,399
2021-10-11,458
2021-10-18,477
2021-10-25,406
2021-11-01,570
2021-11-08,716
2021-11-15,819
2021-11-22,797
2021-11-29,1063
2021-12-06,840
2021-12-13,696
2021-12-20,653
2021-12-27,1243
2022-01-03,1815
2022-01-10,1589
2022-01-17,1255
2022-01-24,874
2022-01-31,524
2022-02-07,314
2022-02-14,225
2022-02-21,171
2022-02-28,128
2022-03-07,94
2022-03-14,126
2022-03-21,126
2022-03-28,117
2022-04-04,142
2022-04-11,144
2022-04-18,180
2022-04-25,244
2022-05-02,385
2022-05-09,353
2022-05-16,273
2022-05-23,247
2022-05-30,218
2022-06-06,195
2022-06-13,172
2022-06-20,132
2022-06-27,153
2022-07-04,144
2022-07-11,153
2022-07-18,200
2022-07-25,229
2022-08-01,276
2022-08-08,231
2022-08-15,261
2022-08-22,280
2022-08-29,324
2022-09-05,297
2022-09-12,327
2022-09-19,234
2022-09-26,230
2022-10-03,213
2022-10-10,241
2022-10-17,232
2022-10-24,197
2022-10-31,147
2022-11-07,131
2022-11-14,139
2022-11-21,136
2022-11-28,227
2022-12-05,213
2022-12-12,222
2022-12-19,172
2022-12-26,158
2023-01-02,134
2023-01-09,87
2023-01-16,59
2023-01-23,80
2023-01-30,97
2023-02-06,84
2023-02-13,73
2023-02-20,68
2023-02-27,52
2023-03-06,74
2023-03-13,54
2023-03-20,83
2023-03-27,63
2023-04-03,49
2023-04-10,49
2023-04-17,15
2023-04-24,23
2023-05-01,20
2023-05-08,56
2023-05-15,20
2023-05-22,14
2023-05-29,7
2023-06-05,4
2023-06-12,8
2023-06-19,5
2023-06-26,8
2023-07-03,12
2023-07-10,7
2023-07-17,35
2023-07-24,30
2023-07-31,51
2023-08-07,39
2023-08-14,20
2023-08-21,31
2023-08-28,41
2023-09-04,26
2023-09-11,53
2023-09-18,84
2023-09-25,57
2023-10-02,39
2023-10-09,33
2023-10-16,47
2023-10-23,91
2023-10-30,102
2023-11-06,69
2023-11-13,85
2023-11-20,91
2023-11-27,103
2023-12-04,109
2023-12-11,132
2023-12-18,149
2023-12-25,182
2024-01-01,169
2024-01-08,111
2024-01-15,74
2024-01-22,58
2024-01-29,57
2024-02-05,67
2024-02-12,50
2024-02-19,89
2024-02-26,48
2024-03-04,39
2024-03-11,4
