Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,4
2020-03-23,5
2020-03-30,4
2020-04-06,4
2020-04-13,5
2020-04-20,7
2020-04-27,5
2020-05-04,5
2020-05-11,13
2020-05-18,11
2020-05-25,9
2020-06-01,11
2020-06-08,5
2020-06-15,43
2020-06-22,11
2020-06-29,10
2020-07-06,21
2020-07-13,36
2020-07-20,18
2020-07-27,25
2020-08-03,19
2020-08-10,29
2020-08-17,42
2020-08-24,23
2020-08-31,18
2020-09-07,16
2020-09-14,17
2020-09-21,12
2020-09-28,6
2020-10-05,15
2020-10-12,15
2020-10-19,30
2020-10-26,32
2020-11-02,55
2020-11-09,86
2020-11-16,72
2020-11-23,64
2020-11-30,83
2020-12-07,48
2020-12-14,25
2020-12-21,29
2020-12-28,32
2021-01-04,34
2021-01-11,19
2021-01-18,12
2021-01-25,12
2021-02-01,23
2021-02-08,74
2021-02-15,68
2021-02-22,56
2021-03-01,37
2021-03-08,57
2021-03-15,67
2021-03-22,103
2021-03-29,127
2021-04-05,114
2021-04-12,129
2021-04-19,79
2021-04-26,71
2021-05-03,36
2021-05-10,37
2021-05-17,35
2021-05-24,11
2021-05-31,16
2021-06-07,21
2021-06-14,12
2021-06-21,4
2021-06-28,8
2021-07-05,7
2021-07-12,20
2021-07-19,15
2021-07-26,25
2021-08-02,30
2021-08-09,44
2021-08-16,42
2021-08-23,54
2021-08-30,45
2021-09-06,59
2021-09-13,83
2021-09-20,78
2021-09-27,77
2021-10-04,118
2021-10-11,115
2021-10-18,89
2021-10-25,64
2021-11-01,74
2021-11-08,76
2021-11-15,86
2021-11-22,49
2021-11-29,62
2021-12-06,95
2021-12-13,55
2021-12-20,70
2021-12-27,90
2022-01-03,142
2022-01-10,153
2022-01-17,133
2022-01-24,103
2022-01-31,74
2022-02-07,44
2022-02-14,27
2022-02-21,25
2022-02-28,24
2022-03-07,15
2022-03-14,19
2022-03-21,10
2022-03-28,22
2022-04-04,20
2022-04-11,19
2022-04-18,23
2022-04-25,38
2022-05-02,84
2022-05-09,76
2022-05-16,85
2022-05-23,28
2022-05-30,29
2022-06-06,30
2022-06-13,24
2022-06-20,28
2022-06-27,15
2022-07-04,25
2022-07-11,19
2022-07-18,45
2022-07-25,28
2022-08-01,20
2022-08-08,20
2022-08-15,24
2022-08-22,26
2022-08-29,17
2022-09-05,26
2022-09-12,24
2022-09-19,18
2022-09-26,24
2022-10-03,22
2022-10-10,32
2022-10-17,31
2022-10-24,22
2022-10-31,13
2022-11-07,11
2022-11-14,15
2022-11-21,16
2022-11-28,15
2022-12-05,11
2022-12-12,26
2022-12-19,17
2022-12-26,12
2023-01-02,11
2023-01-09,15
2023-01-16,10
2023-01-23,14
2023-01-30,8
2023-02-06,6
2023-02-13,9
2023-02-20,20
2023-02-27,9
2023-03-06,10
2023-03-13,11
2023-03-20,12
2023-03-27,5
2023-04-03,8
2023-04-10,10
2023-04-17,4
2023-04-24,1
2023-05-01,4
2023-05-08,0
2023-05-15,0
2023-05-22,1
2023-05-29,0
2023-06-05,15
2023-06-12,3
2023-06-19,3
2023-06-26,2
2023-07-03,0
2023-07-10,2
2023-07-17,0
2023-07-24,2
2023-07-31,2
2023-08-07,1
2023-08-14,7
2023-08-21,4
2023-08-28,0
2023-09-04,5
2023-09-11,10
2023-09-18,2
2023-09-25,3
2023-10-02,1
2023-10-09,1
2023-10-16,4
2023-10-23,3
2023-10-30,4
2023-11-06,6
2023-11-13,5
2023-11-20,22
2023-11-27,7
2023-12-04,12
2023-12-11,4
2023-12-18,4
2023-12-25,9
2024-01-01,5
2024-01-08,5
2024-01-15,4
2024-01-22,5
2024-01-29,6
2024-02-05,7
2024-02-12,13
2024-02-19,6
2024-02-26,6
2024-03-04,4
2024-03-11,1
